note_num,start,end,name
38,129.0,129.5,D
38,177.0,177.5,D
40,118.0,118.5,E
40,128.5,129.0,E
40,166.0,166.5,E
40,176.5,177.0,E
42,128.0,128.5,F#
42,176.0,176.5,F#
43,21.0,22.5,G
43,69.0,70.5,G
43,127.5,128.0,G
43,132.0,132.5,G
43,143.0,144.0,G
43,175.5,176.0,G
43,180.0,180.5,G
43,191.0,192.0,G
45,114.0,114.5,A
45,115.5,116.0,A
45,126.0,127.5,A
45,129.5,130.0,A
45,131.5,132.0,A
45,162.0,162.5,A
45,163.5,164.0,A
45,174.0,175.5,A
45,177.5,178.0,A
45,179.5,180.0,A
47,12.0,15.0,B
47,60.0,63.0,B
47,113.0,114.0,B
47,115.0,115.5,B
47,116.0,117.0,B
47,117.5,118.0,B
47,118.5,119.0,B
47,123.0,126.0,B
47,131.0,131.5,B
47,161.0,162.0,B
47,163.0,163.5,B
47,164.0,165.0,B
47,165.5,166.0,B
47,166.5,167.0,B
47,171.0,174.0,B
47,179.0,179.5,B
48,11.5,12.0,C
48,15.0,17.5,C
48,18.5,19.0,C
48,59.5,60.0,C
48,63.0,65.5,C
48,66.5,67.0,C
48,111.0,113.0,C
48,114.5,115.0,C
48,120.0,123.0,C
48,130.5,131.0,C
48,135.0,135.5,C
48,159.0,161.0,C
48,162.5,163.0,C
48,168.0,171.0,C
48,178.5,179.0,C
48,183.0,183.5,C
50,9.0,11.5,D
50,13.0,15.0,D
50,17.5,18.0,D
50,19.0,21.0,D
50,22.5,23.0,D
50,45.0,48.0,D
50,57.0,59.5,D
50,61.0,63.0,D
50,65.5,66.0,D
50,67.0,69.0,D
50,70.5,71.0,D
50,93.0,96.0,D
50,110.0,111.0,D
50,119.5,120.0,D
50,124.25,124.5,D
50,130.0,130.5,D
50,132.5,133.0,D
50,134.5,135.0,D
50,138.5,139.0,D
50,140.5,141.0,D
50,142.5,143.0,D
50,158.0,159.0,D
50,167.5,168.0,D
50,172.25,172.5,D
50,178.0,178.5,D
50,180.5,181.0,D
50,182.5,183.0,D
50,186.5,187.0,D
50,188.5,189.0,D
50,190.5,191.0,D
51,116.5,117.0,D#
51,164.5,165.0,D#
52,6.0,9.0,E
52,16.0,17.5,E
52,18.0,18.5,E
52,20.5,20.75,E
52,23.0,23.75,E
52,28.5,29.0,E
52,30.0,31.5,E
52,31.5,32.0,E
52,54.0,57.0,E
52,64.0,65.5,E
52,66.0,66.5,E
52,68.5,68.75,E
52,71.0,71.75,E
52,76.5,77.0,E
52,78.0,79.5,E
52,79.5,80.0,E
52,108.0,110.0,E
52,117.0,118.0,E
52,119.0,119.5,E
52,121.0,123.0,E
52,124.0,124.25,E
52,124.5,124.75,E
52,126.5,127.0,E
52,134.0,134.5,E
52,156.0,158.0,E
52,165.0,166.0,E
52,167.0,167.5,E
52,169.0,171.0,E
52,172.0,172.25,E
52,172.5,172.75,E
52,174.5,175.0,E
52,182.0,182.5,E
53,133.5,134.0,F
53,181.5,182.0,F
54,3.0,6.0,F#
54,10.0,12.0,F#
54,20.25,20.5,F#
54,20.75,21.0,F#
54,23.75,24.0,F#
54,28.0,28.5,F#
54,29.0,29.5,F#
54,32.0,32.5,F#
54,36.0,39.0,F#
54,51.0,54.0,F#
54,58.0,60.0,F#
54,68.25,68.5,F#
54,68.75,69.0,F#
54,71.75,72.0,F#
54,76.0,76.5,F#
54,77.0,77.5,F#
54,80.0,80.5,F#
54,84.0,87.0,F#
54,107.5,108.0,F#
54,109.5,110.0,F#
54,112.5,113.0,F#
54,123.5,124.0,F#
54,124.75,125.0,F#
54,125.25,125.5,F#
54,138.0,138.5,F#
54,155.5,156.0,F#
54,157.5,158.0,F#
54,160.5,161.0,F#
54,171.5,172.0,F#
54,172.75,173.0,F#
54,173.25,173.5,F#
54,186.0,186.5,F#
55,0.0,3.0,G
55,7.0,9.0,G
55,14.0,15.0,G
55,20.0,20.25,G
55,21.0,21.5,G
55,24.0,28.0,G
55,32.5,33.0,G
55,35.5,36.0,G
55,39.0,42.0,G
55,48.0,51.0,G
55,55.0,57.0,G
55,62.0,63.0,G
55,68.0,68.25,G
55,69.0,69.5,G
55,72.0,76.0,G
55,80.5,81.0,G
55,83.5,84.0,G
55,87.0,90.0,G
55,107.0,107.5,G
55,109.0,109.5,G
55,110.0,111.0,G
55,112.0,112.5,G
55,113.0,113.5,G
55,125.0,125.25,G
55,125.5,126.5,G
55,133.0,133.5,G
55,135.5,136.0,G
55,137.5,138.0,G
55,139.0,139.5,G
55,141.0,142.5,G
55,155.0,155.5,G
55,157.0,157.5,G
55,158.0,159.0,G
55,160.0,160.5,G
55,161.0,161.5,G
55,173.0,173.25,G
55,173.5,174.5,G
55,181.0,181.5,G
55,183.5,184.0,G
55,185.5,186.0,G
55,187.0,187.5,G
55,189.0,190.5,G
57,4.0,6.0,A
57,11.0,12.0,A
57,17.0,18.0,A
57,19.75,20.0,A
57,21.5,22.0,A
57,27.0,28.0,A
57,33.0,34.5,A
57,35.0,35.5,A
57,37.0,39.0,A
57,42.0,45.0,A
57,46.5,47.0,A
